#grain_size_mm	site_0	site_1	site_2
4916	100	100	100
4915	100	100	99.9
3729	100	100	99.7
3530	100	100	99.4
2911	100	100	99.2
2897	100	100	98.9
2788	100	100	98.6
2587	100	100	98.3
2564	100	100	98.1
2519	100	100	97.8		
2417	100	100	97.5
2416	100	99.9	97.5
2400	100	99.9	97.5
2300	100	99.9	97.5
2200	100	99.9	97.2
2100	100	99.9	97
2000	100	99.9	95.3
1900	100	99.9	93.4
1800	100	99.9	92.3
1700	100	99.9	91.2
1600	100	99.8	88.4
1500	100	99.8	86.5
1400	100	99.5	84
1300	100	99.3	81.2
1291	100	99.3	80.9
1290	99.9	99.3	80.9
1200	99.8	99.3	77.9
1100	99.5	99.1	72.1
1000	99.1	98.8	62.4
900	98.6	98.8	55.8
800	97.8	97.4	45.9
700	96.9	95	33.4
600	94.9	92.2	21.3
500	91.8	85.6	6.6
			
			
			
			
